id,time,item,qty,cheese,mayo,source,ketchup,salt
1,2023-10-07 10:35:44.198000,唐揚げ,1,false,false,false,false,false
2,2023-10-07 10:38:08.659000,唐揚げ,2,false,false,false,false,false
3,2023-10-07 10:40:13.421000,揚げたこ焼き,1,false,false,false,false,false
4,2023-10-07 10:45:28.253000,揚げたこ焼き,1,false,ture,false,false,false
5,2023-10-07 10:51:34.733000,唐揚げ,1,ture,false,false,false,false
6,2023-10-07 10:52:36.631000,ソーダ,1,false,false,false,false,false
7,2023-10-07 10:55:49.168000,唐揚げ,1,false,false,false,false,false
8,2023-10-07 11:00:07.266000,ソーダ,1,false,false,false,false,false
9,2023-10-07 11:00:45.868000,唐揚げ,1,false,ture,false,false,false
10,2023-10-07 11:07:23.033000,ポテト,1,false,false,false,false,ture
11,2023-10-07 11:09:35.673000,揚げたこ焼き,1,false,ture,false,false,false
12,2023-10-07 11:12:18.013000,揚げたこ焼き,1,false,false,ture,false,false
13,2023-10-07 11:14:22.088000,ポテト,1,false,false,false,false,ture
14,2023-10-07 11:15:06.383000,揚げたこ焼き,2,false,false,false,false,false
15,2023-10-07 11:15:06.383000,ソーダ,1,false,false,false,false,false
16,2023-10-07 11:15:06.383000,コーラ,1,false,false,false,false,false
17,2023-10-07 11:17:24.293000,揚げたこ焼き,1,false,ture,false,false,false
18,2023-10-07 11:23:47.470000,唐揚げ,1,false,ture,false,false,false
19,2023-10-07 11:24:07.312000,ポテト,1,false,false,false,false,ture
20,2023-10-07 11:24:38.034000,ポテト,1,false,false,false,false,false
21,2023-10-07 11:26:49.093000,ポテト,1,false,false,false,false,ture
22,2023-10-07 11:26:49.093000,ファンタグレープ,1,false,false,false,false,false
23,2023-10-07 11:27:42.663000,唐揚げ,1,false,ture,false,false,false
24,2023-10-07 11:28:08.103000,唐揚げ,1,false,false,false,false,false
25,2023-10-07 11:28:39.058000,ソーダ,1,false,false,false,false,false
26,2023-10-07 11:29:44.043000,唐揚げ,1,false,false,false,false,false
27,2023-10-07 11:29:44.043000,揚げたこ焼き,1,false,ture,false,false,false
28,2023-10-07 11:29:56.068000,揚げたこ焼き,1,false,ture,false,false,false
29,2023-10-07 11:32:34.564000,揚げたこ焼き,1,false,ture,false,false,false
30,2023-10-07 11:33:10.903000,揚げたこ焼き,1,false,ture,false,false,false
31,2023-10-07 11:37:27.002000,揚げたこ焼き,1,ture,false,false,false,false
32,2023-10-07 11:37:27.002000,唐揚げ,1,false,false,false,false,false
33,2023-10-07 11:37:27.002000,ポテト,1,false,ture,false,false,false
34,2023-10-07 11:37:27.002000,ソーダ,1,false,false,false,false,false
35,2023-10-07 11:36:48.862000,揚げたこ焼き,1,false,ture,false,false,false
36,2023-10-07 11:37:48.864000,唐揚げ,1,false,ture,false,false,false
37,2023-10-07 11:42:14.634000,唐揚げ,1,false,false,false,false,false
38,2023-10-07 11:42:14.634000,ポテト,1,false,false,false,false,ture
39,2023-10-07 11:46:20.474000,ファンタグレープ,1,false,false,false,false,false
40,2023-10-07 11:46:31.764000,唐揚げ,1,false,false,false,ture,false
41,2023-10-07 11:46:31.764000,唐揚げ,1,false,false,false,ture,false
42,2023-10-07 11:46:31.764000,ポテト,1,false,false,false,false,ture
43,2023-10-07 11:51:00.232000,唐揚げ,1,false,false,false,ture,false
44,2023-10-07 11:51:00.232000,ソーダ,1,false,false,false,false,false
45,2023-10-07 11:53:06.965000,唐揚げ,1,ture,false,false,false,false
46,2023-10-07 11:55:29.956000,揚げたこ焼き,1,false,ture,false,false,false
47,2023-10-07 11:56:26.874000,唐揚げ,1,ture,false,false,false,false
48,2023-10-07 11:56:50.034000,ポテト,2,ture,false,false,false,false
49,2023-10-07 11:57:14.812000,ソーダ,1,false,false,false,false,false
50,2023-10-07 11:58:19.024000,唐揚げ,1,false,ture,false,false,false
51,2023-10-07 11:58:19.024000,ソーダ,1,false,false,false,false,false
52,2023-10-07 11:59:22.912000,ポテト,3,false,ture,false,false,false
53,2023-10-07 11:59:22.912000,唐揚げ,1,false,ture,false,false,false
54,2023-10-07 11:59:56.467000,ソーダ,2,false,false,false,false,false
55,2023-10-07 11:59:56.467000,ポテト,1,false,ture,false,false,false
56,2023-10-07 12:00:26.594000,揚げたこ焼き,1,false,false,ture,false,false
57,2023-10-07 12:00:26.594000,揚げたこ焼き,1,false,ture,false,false,false
58,2023-10-07 12:00:26.594000,唐揚げ,1,false,ture,false,false,false
59,2023-10-07 12:00:26.594000,緑茶,2,false,false,false,false,false
60,2023-10-07 12:01:34.285000,唐揚げ,1,false,false,false,false,false
61,2023-10-07 12:01:34.285000,揚げたこ焼き,1,ture,false,false,false,false
62,2023-10-07 12:01:34.285000,コーラ,1,false,false,false,false,false
63,2023-10-07 12:01:43.902000,揚げたこ焼き,2,false,false,ture,false,false
64,2023-10-07 12:01:43.902000,ポテト,1,false,false,false,false,ture
65,2023-10-07 12:01:43.902000,ポテト,1,false,false,false,ture,false
66,2023-10-07 12:02:54.914000,揚げたこ焼き,1,false,ture,false,false,false
67,2023-10-07 12:04:27.467000,唐揚げ,1,false,ture,false,false,false
68,2023-10-07 12:05:35.624000,緑茶,1,false,false,false,false,false
69,2023-10-07 12:06:38.383000,ポテト,1,ture,false,false,false,false
70,2023-10-07 12:09:18.103000,唐揚げ,2,false,false,false,false,false
71,2023-10-07 12:09:18.103000,ポテト,1,false,false,false,ture,false
72,2023-10-07 12:07:38.648000,揚げたこ焼き,1,false,ture,false,false,false
73,2023-10-07 12:07:38.648000,ポテト,1,ture,false,false,false,false
74,2023-10-07 12:08:34.524000,ポテト,1,false,false,false,false,ture
75,2023-10-07 12:08:46.714000,唐揚げ,1,false,ture,false,false,false
76,2023-10-07 12:08:46.714000,唐揚げ,1,ture,false,false,false,false
77,2023-10-07 12:10:48.291000,唐揚げ,1,false,false,false,false,false
78,2023-10-07 12:12:31.404000,唐揚げ,1,false,false,false,false,false
79,2023-10-07 12:12:51.943000,ソーダ,1,false,false,false,false,false
80,2023-10-07 12:13:13.063000,唐揚げ,1,false,false,false,false,false
81,2023-10-07 12:14:38.184000,唐揚げ,1,false,false,false,false,false
82,2023-10-07 12:18:51.360000,唐揚げ,1,false,false,false,false,false
83,2023-10-07 12:18:51.360000,ポテト,1,false,false,false,ture,false
84,2023-10-07 12:20:00.732000,ポテト,1,false,false,false,false,ture
85,2023-10-07 12:20:00.732000,唐揚げ,1,false,false,false,ture,false
86,2023-10-07 12:20:54.231000,唐揚げ,1,ture,false,false,false,false
87,2023-10-07 12:20:54.231000,コーラ,1,false,false,false,false,false
88,2023-10-07 12:21:24.494000,揚げたこ焼き,1,false,ture,false,false,false
89,2023-10-07 12:21:58.193000,唐揚げ,1,false,false,false,false,false
90,2023-10-07 12:22:24.656000,唐揚げ,1,false,false,false,false,false
91,2023-10-07 12:22:49.303000,唐揚げ,1,false,false,false,false,false
92,2023-10-07 12:23:41.742000,ポテト,1,false,false,false,false,ture
93,2023-10-07 12:23:41.742000,ポテト,1,false,ture,false,false,false
94,2023-10-07 12:24:05.083000,唐揚げ,1,false,ture,false,false,false
95,2023-10-07 12:24:39.191000,緑茶,1,false,false,false,false,false
96,2023-10-07 12:24:39.191000,揚げたこ焼き,1,false,ture,false,false,false
97,2023-10-07 12:24:39.191000,ポテト,1,false,ture,false,false,false
98,2023-10-07 12:25:25.244000,揚げたこ焼き,1,false,ture,false,false,false
99,2023-10-07 12:25:53.403000,揚げたこ焼き,2,false,ture,false,false,false
100,2023-10-07 12:38:45.892000,ポテト,1,false,false,false,false,ture
101,2023-10-07 12:38:45.892000,揚げたこ焼き,1,false,ture,false,false,false
102,2023-10-07 12:38:45.892000,揚げたこ焼き,1,false,false,false,false,false
103,2023-10-07 12:38:45.892000,ソーダ,1,false,false,false,false,false
104,2023-10-07 12:38:45.892000,緑茶,1,false,false,false,false,false
105,2023-10-07 12:26:43.964000,ファンタグレープ,1,false,false,false,false,false
106,2023-10-07 12:27:10.714000,ポテト,1,false,false,false,false,ture
107,2023-10-07 12:27:10.714000,ポテト,1,false,false,false,false,ture
108,2023-10-07 12:27:51.931000,ソーダ,1,false,false,false,false,false
109,2023-10-07 12:27:51.931000,揚げたこ焼き,1,false,ture,false,false,false
110,2023-10-07 12:29:03.723000,唐揚げ,1,false,false,false,false,false
111,2023-10-07 12:31:38.361000,唐揚げ,1,false,false,false,ture,false
112,2023-10-07 12:32:10.868000,ソーダ,1,false,false,false,false,false
113,2023-10-07 12:33:06.624000,ポテト,1,false,false,false,ture,false
114,2023-10-07 12:33:22.515000,ソーダ,1,false,false,false,false,false
115,2023-10-07 12:33:58.733000,唐揚げ,1,false,ture,false,false,false
116,2023-10-07 12:34:21.564000,唐揚げ,1,false,ture,false,false,false
117,2023-10-07 12:35:00.817000,唐揚げ,1,false,false,false,ture,false
118,2023-10-07 12:35:11.231000,唐揚げ,1,false,ture,false,false,false
119,2023-10-07 12:37:07.283000,ポテト,1,false,false,false,ture,false
120,2023-10-07 12:37:07.283000,緑茶,1,false,false,false,false,false
121,2023-10-07 12:38:55.343000,唐揚げ,1,false,false,false,false,false
122,2023-10-07 12:40:41.167000,唐揚げ,1,false,ture,false,false,false
123,2023-10-07 12:41:58.202000,唐揚げ,1,false,false,false,false,false
124,2023-10-07 12:44:31.033000,唐揚げ,1,false,false,false,ture,false
125,2023-10-07 12:45:37.086000,揚げたこ焼き,1,false,ture,false,false,false
126,2023-10-07 12:45:37.086000,唐揚げ,1,false,false,false,ture,false
127,2023-10-07 12:48:28.344000,唐揚げ,1,false,ture,false,false,false
128,2023-10-07 12:51:07.214000,唐揚げ,1,false,ture,false,false,false
129,2023-10-07 12:51:33.114000,ソーダ,1,false,false,false,false,false
130,2023-10-07 12:54:10.362000,唐揚げ,1,false,false,false,false,false
131,2023-10-07 12:54:10.362000,麦茶,1,false,false,false,false,false
132,2023-10-07 12:54:58.021000,緑茶,1,false,false,false,false,false
133,2023-10-07 12:54:58.021000,唐揚げ,1,ture,false,false,false,false
134,2023-10-07 12:54:58.021000,ポテト,1,false,false,false,false,ture
135,2023-10-07 12:55:18.348000,唐揚げ,1,false,false,false,false,false
136,2023-10-07 12:56:39.281000,唐揚げ,1,false,false,false,ture,false
137,2023-10-07 12:56:39.281000,唐揚げ,1,false,false,false,false,false
138,2023-10-07 12:56:39.281000,揚げたこ焼き,1,false,ture,false,false,false
139,2023-10-07 12:57:13.300000,唐揚げ,2,false,ture,false,false,false
140,2023-10-07 12:57:42.566000,唐揚げ,1,false,false,false,false,false
141,2023-10-07 12:58:03.512000,唐揚げ,1,false,ture,false,false,false
142,2023-10-07 12:58:03.512000,揚げたこ焼き,1,false,ture,false,false,false
143,2023-10-07 12:58:27.901000,唐揚げ,1,false,false,false,false,false
144,2023-10-07 13:00:42.626000,ポテト,1,false,false,false,false,ture
145,2023-10-07 13:00:42.626000,揚げたこ焼き,1,ture,false,false,false,false
146,2023-10-07 13:01:38.520000,唐揚げ,1,ture,false,false,false,false
147,2023-10-07 13:01:38.520000,揚げたこ焼き,1,false,ture,false,false,false
148,2023-10-07 13:01:38.520000,ファンタグレープ,1,false,false,false,false,false
149,2023-10-07 13:02:23.650000,唐揚げ,1,false,ture,false,false,false
150,2023-10-07 13:02:23.650000,ポテト,1,false,false,false,ture,false
151,2023-10-07 13:03:20.040000,ポテト,1,false,false,false,false,ture
152,2023-10-07 13:03:20.040000,唐揚げ,1,false,false,false,false,false
153,2023-10-07 13:03:20.040000,揚げたこ焼き,1,false,ture,false,false,false
154,2023-10-07 13:04:10.682000,麦茶,1,false,false,false,false,false
155,2023-10-07 13:04:10.682000,緑茶,1,false,false,false,false,false
156,2023-10-07 13:04:10.682000,ポテト,1,false,false,false,ture,false
157,2023-10-07 13:05:46.908000,揚げたこ焼き,1,false,ture,false,false,false
